nome,preparacao,nome_busca,kcal_100g,proteina_g,carboidrato_g,gordura_g,fibra_g,sodio_mg,gordura_saturada_g,gordura_trans_g,acucar_g,colesterol_mg,fonte
"ARROZ (POLIDO, PARBOILIZADO, AGULHA, AGULHINHA, ETC)",NAO SE APLICA,arroz polido parboilizado agulha agulhinha etc,135.62,2.5,27.78,1.2,1.55,1.19,0.35,0.01,,,IBGE
ARROZ INTEGRAL,NAO SE APLICA,arroz integral,130.95,2.56,25.56,1.97,2.72,1.23,0.45,0.01,,,IBGE
MILHO (EM GRAO),CRU(A),milho em grao cru,160.14,3.32,25.11,7.18,4.25,244.96,1.12,0.03,3.16,,IBGE
MILHO (EM GRAO),COZIDO(A),milho em grao cozido,160.14,3.32,25.11,7.18,4.25,244.96,1.12,0.03,3.16,,IBGE
MILHO (EM GRAO),GRELHADO(A)/BRASA/CHURRASCO,milho em grao grelhado,160.14,3.32,25.11,7.18,4.25,244.96,1.12,0.03,3.16,,IBGE
MILHO (EM GRAO),ASSADO(A),milho em grao assado,160.14,3.32,25.11,7.18,4.25,244.96,1.12,0.03,3.16,,IBGE
MILHO (EM GRAO),REFOGADO(A),milho em grao refogado,160.14,3.32,25.11,7.18,4.25,,1.12,0.03,3.16,,IBGE
MILHO (EM GRAO),ENSOPADO,milho em grao ensopado,160.14,3.32,25.11,7.18,4.25,,1.12,0.03,3.16,,IBGE
MILHO (EM GRAO),NAO SE APLICA,milho em grao,160.14,3.32,25.11,7.18,4.25,244.96,1.12,0.03,3.16,,IBGE
CANJIQUINHA DE MILHO EM GRAO,CRU(A),canjiquinha de milho em grao cru,79.68,1.24,13.5,2.2,0.67,131.5,0.33,0.01,0.29,,IBGE
CANJIQUINHA DE MILHO EM GRAO,COZIDO(A),canjiquinha de milho em grao cozido,62.95,1.24,13.5,0.31,0.67,5.01,0.03,,0.29,,IBGE
CANJIQUINHA DE MILHO EM GRAO,ENSOPADO,canjiquinha de milho em grao ensopado,79.68,1.24,13.5,2.2,0.67,5.01,0.33,0.01,0.29,,IBGE
CANJIQUINHA DE MILHO EM GRAO,MINGAU,canjiquinha de milho em grao mingau,62.95,1.24,13.5,0.31,0.67,5.01,0.03,,0.29,,IBGE
CANJIQUINHA DE MILHO EM GRAO,SOPA,canjiquinha de milho em grao sopa,31.44,0.95,7.01,0.12,0.71,310.43,0.04,0.0,3.28,,IBGE
CANJIQUINHA DE MILHO EM GRAO,NAO SE APLICA,canjiquinha de milho em grao,62.95,1.24,13.5,0.31,0.67,5.01,0.03,,0.29,,IBGE
XEREM DE MILHO,NAO SE APLICA,xerem de milho,62.95,1.24,13.5,0.31,0.67,5.01,0.03,,0.29,,IBGE
AMENDOIM (EM GRAO) (IN NATURA),NAO SE APLICA,amendoim em grao in natura,567.0,25.8,16.13,49.24,8.5,18.0,6.83,,4.0,,IBGE
ERVILHA EM GRAO,NAO SE APLICA,ervilha em grao,109.09,5.36,15.63,3.06,5.5,3.0,0.48,0.02,5.94,,IBGE
FAVA (EM GRAO),NAO SE APLICA,fava em grao,85.62,4.8,10.1,3.17,3.6,41.0,0.56,0.01,1.24,,IBGE
MANGALO AMARGO EM GRAO,NAO SE APLICA,mangalo amargo em grao,85.62,4.8,10.1,3.17,3.6,41.0,0.56,0.01,1.24,,IBGE
FEIJAO DE CORDA,NAO SE APLICA,feijao de corda,121.33,3.17,20.32,3.13,5.0,4.0,0.53,0.02,0.34,,IBGE
FEIJAO VERDE,NAO SE APLICA,feijao verde,121.33,3.17,20.32,3.13,5.0,4.0,0.53,0.02,0.34,,IBGE
SEMENTE DE LINHACA,NAO SE APLICA,semente de linhaca,534.0,18.29,28.88,42.16,27.3,30.0,3.66,,1.55,,IBGE
ANDU,NAO SE APLICA,andu,97.41,5.84,15.05,1.79,3.78,5.2,0.3,0.01,0.3,,IBGE
GRAO DE BICO,NAO SE APLICA,grao de bico,188.48,8.86,27.42,5.36,7.6,7.0,0.7,0.02,1.7,,IBGE
LENTILHA,NAO SE APLICA,lentilha,136.28,9.02,20.13,2.67,5.86,2.0,0.41,0.01,0.39,,IBGE
SOJA EM GRAO,NAO SE APLICA,soja em grao,196.34,16.64,9.93,11.61,6.0,1.0,1.71,0.01,0.8,,IBGE
"FEIJAO (PRETO, MULATINHO, ROXO, ROSINHA, ETC)",NAO SE APLICA,feijao preto mulatinho roxo rosinha etc,97.41,5.84,15.05,1.79,3.78,5.2,0.3,0.01,0.3,,IBGE
QUIRERA NAO ESPECIFICADA,NAO SE APLICA,quirera nao especificada,62.95,1.24,13.5,0.31,0.67,5.01,0.03,,0.29,,IBGE
FEIJAO VERDE ORGANICO,NAO SE APLICA,feijao verde organico,121.33,3.17,20.32,3.13,5.0,4.0,0.53,0.02,0.34,,IBGE
FEIJAO ORGANICO,NAO SE APLICA,feijao organico,97.41,5.84,15.05,1.79,3.78,5.2,0.3,0.01,0.3,,IBGE
PIPOCA  LIGHT,NAO SE APLICA,pipoca light,445.94,10.77,64.85,17.78,12.07,1072.51,3.75,4.2,0.72,,IBGE
ARROZ  ORGANICO,NAO SE APLICA,arroz organico,135.62,2.5,27.78,1.2,1.55,1.19,0.35,0.01,,,IBGE
ARROZ INTEGRAL ORGANICO,NAO SE APLICA,arroz integral organico,130.95,2.56,25.56,1.97,2.72,1.23,0.45,0.01,,,IBGE
FEIJAO SOJA ORGANICO,NAO SE APLICA,feijao soja organico,196.34,16.64,9.93,11.61,6.0,1.0,1.71,0.01,0.8,,IBGE
QUINOA,NAO SE APLICA,quinoa,135.47,4.37,19.83,4.33,2.16,4.27,0.6,0.01,1.89,,IBGE
BATATA-INGLESA,CRU(A),batatainglesa cru,86.0,1.71,20.01,0.1,2.05,5.0,0.03,,0.86,,IBGE
BATATA-INGLESA,COZIDO(A),batatainglesa cozido,86.0,1.71,20.01,0.1,2.05,5.0,0.03,,0.86,,IBGE
BATATA-INGLESA,GRELHADO(A)/BRASA/CHURRASCO,batatainglesa grelhado,86.0,1.71,20.01,0.1,2.05,5.0,0.03,,0.86,,IBGE
BATATA-INGLESA,ASSADO(A),batatainglesa assado,86.0,1.71,20.01,0.1,2.05,5.0,0.03,,0.86,,IBGE
BATATA-INGLESA,FRITO(A),batatainglesa frito,263.5,2.87,33.6,13.64,3.44,8.4,2.15,0.07,1.44,,IBGE
BATATA-INGLESA,REFOGADO(A),batatainglesa refogado,111.74,1.71,20.01,3.01,2.05,5.0,0.48,0.02,0.86,,IBGE
BATATA-INGLESA,MOLHO VERMELHO,batatainglesa ao molho vermelho,73.6,1.63,17.08,0.12,1.94,108.8,0.03,,1.54,,IBGE
BATATA-INGLESA,MOLHO BRANCO,batatainglesa ao molho branco,101.39,2.15,17.86,2.57,1.68,24.92,1.55,0.1,1.72,6.83,IBGE
BATATA-INGLESA,AO ALHO E OLEO,batatainglesa ao alho e oleo,263.5,2.87,33.6,13.64,3.44,8.4,2.15,0.07,1.44,,IBGE
BATATA-INGLESA,COM MANTEIGA/OLEO,batatainglesa com manteiga,111.74,1.71,20.01,3.01,2.05,5.0,0.48,0.02,0.86,,IBGE
BATATA-INGLESA,ENSOPADO,batatainglesa ensopado,111.74,1.71,20.01,3.01,2.05,5.0,0.48,0.02,0.86,,IBGE
BATATA-INGLESA,SOPA,batatainglesa sopa,31.44,0.95,7.01,0.12,0.71,310.43,0.04,0.0,3.28,,IBGE
BATATA-INGLESA,NAO SE APLICA,batatainglesa,86.0,1.71,20.01,0.1,2.05,5.0,0.03,,0.86,,IBGE
MANDIOQUINHA SALSA (BATATA BAROA),COZIDO(A),mandioquinha salsa batata baroa cozido,76.0,1.37,17.72,0.14,2.5,27.0,0.03,,5.74,,IBGE
MANDIOQUINHA SALSA (BATATA BAROA),REFOGADO(A),mandioquinha salsa batata baroa refogado,91.74,1.37,17.72,1.92,2.5,27.0,0.29,,5.74,,IBGE
MANDIOQUINHA SALSA (BATATA BAROA),ENSOPADO,mandioquinha salsa batata baroa ensopado,91.74,1.37,17.72,1.92,2.5,27.0,0.29,,5.74,,IBGE
MANDIOQUINHA SALSA (BATATA BAROA),NAO SE APLICA,mandioquinha salsa batata baroa,76.0,1.37,17.72,0.14,2.5,27.0,0.03,,5.74,,IBGE
CENOURA AMARELA (BATATA BAROA),NAO SE APLICA,cenoura amarela batata baroa,76.0,1.37,17.72,0.14,2.5,27.0,0.03,,5.74,,IBGE
BATATA DOCE,CRU(A),batata doce cru,76.0,1.37,17.72,0.14,2.5,27.0,0.03,,5.74,,IBGE
BATATA DOCE,COZIDO(A),batata doce cozido,76.0,1.37,17.72,0.14,2.5,27.0,0.03,,5.74,,IBGE
BATATA DOCE,ASSADO(A),batata doce assado,90.0,2.01,20.71,0.15,3.3,36.0,0.03,,6.47,,IBGE
BATATA DOCE,FRITO(A),batata doce frito,351.28,4.4,56.88,12.59,8.03,86.67,1.85,,18.43,,IBGE
BATATA DOCE,REFOGADO(A),batata doce refogado,91.74,1.37,17.72,1.92,2.5,27.0,0.29,,5.74,,IBGE
BATATA DOCE,ENSOPADO,batata doce ensopado,91.74,1.37,17.72,1.92,2.5,27.0,0.29,,5.74,,IBGE
BATATA DOCE,NAO SE APLICA,batata doce,76.0,1.37,17.72,0.14,2.5,27.0,0.03,,5.74,,IBGE
INHAME,CRU(A),inhame cru,100.0,1.71,23.4,0.12,1.8,8.0,0.03,,6.47,,IBGE
INHAME,COZIDO(A),inhame cozido,100.0,1.71,23.4,0.12,1.8,8.0,0.03,,6.47,,IBGE
INHAME,ASSADO(A),inhame assado,90.0,2.01,20.71,0.15,3.3,36.0,0.03,,6.47,,IBGE
INHAME,FRITO(A),inhame frito,115.74,1.71,23.4,1.9,1.8,8.0,0.28,,6.47,,IBGE
INHAME,REFOGADO(A),inhame refogado,115.74,1.71,23.4,1.9,1.8,8.0,0.28,,6.47,,IBGE
INHAME,ENSOPADO,inhame ensopado,115.74,1.71,23.4,1.9,1.8,8.0,0.28,,6.47,,IBGE
INHAME,SOPA,inhame sopa,31.44,0.95,7.01,0.12,0.71,310.43,0.04,0.0,3.28,,IBGE
QUICARE,NAO SE APLICA,quicare,100.0,1.71,23.4,0.12,1.8,8.0,0.03,,6.47,,IBGE
MANDIOCA,CRU(A),mandioca cru,125.0,0.6,30.1,0.3,1.6,1.0,0.1,,,,IBGE
MANDIOCA,COZIDO(A),mandioca cozido,125.0,0.6,30.1,0.3,1.6,1.0,0.1,,,,IBGE
MANDIOCA,ASSADO(A),mandioca assado,125.0,0.6,30.1,0.3,1.6,1.0,0.1,,,,IBGE
MANDIOCA,FRITO(A),mandioca frito,162.74,0.57,28.6,5.26,1.52,0.95,0.87,0.03,,,IBGE
MANDIOCA,REFOGADO(A),mandioca refogado,162.74,0.57,28.6,5.26,1.52,0.95,0.87,0.03,,,IBGE
MANDIOCA,MOLHO VERMELHO,mandioca ao molho vermelho,104.8,0.74,25.16,0.28,1.58,105.6,0.09,,0.85,,IBGE
MANDIOCA,COM MANTEIGA/OLEO,mandioca com manteiga,154.6,0.61,28.6,4.34,1.52,29.75,2.66,0.16,0.01,10.75,IBGE
MANDIOCA,ENSOPADO,mandioca ensopado,162.74,0.57,28.6,5.26,1.52,0.95,0.87,0.03,,,IBGE
MANDIOCA,SOPA,mandioca sopa,31.44,0.95,7.01,0.12,0.71,310.43,0.04,0.0,3.28,,IBGE
MANDIOCA,NAO SE APLICA,mandioca,125.0,0.6,30.1,0.3,1.6,1.0,0.1,,,,IBGE
AIPIM,COZIDO(A),aipim cozido,125.0,0.6,30.1,0.3,1.6,1.0,0.1,,,,IBGE
AIPIM,ASSADO(A),aipim assado,125.0,0.6,30.1,0.3,1.6,1.0,0.1,,,,IBGE
AIPIM,FRITO(A),aipim frito,162.74,0.57,28.6,5.26,1.52,0.95,0.87,0.03,,,IBGE
AIPIM,EMPANADO(A)/A MILANESA,aipim empanado,162.74,0.57,28.6,5.26,1.52,0.95,0.87,0.03,,,IBGE
AIPIM,REFOGADO(A),aipim refogado,162.74,0.57,28.6,5.26,1.52,0.95,0.87,0.03,,,IBGE
AIPIM,MOLHO VERMELHO,aipim ao molho vermelho,104.8,0.74,25.16,0.28,1.58,105.6,0.09,,0.85,,IBGE
AIPIM,COM MANTEIGA/OLEO,aipim com manteiga,154.6,0.61,28.6,4.34,1.52,29.75,2.66,0.16,0.01,10.75,IBGE
AIPIM,ENSOPADO,aipim ensopado,162.74,0.57,28.6,5.26,1.52,0.95,0.87,0.03,,,IBGE
AIPIM,SOPA,aipim sopa,31.44,0.95,7.01,0.12,0.71,310.43,0.04,0.0,3.28,,IBGE
AIPIM,NAO SE APLICA,aipim,125.0,0.6,30.1,0.3,1.6,1.0,0.1,,,,IBGE
MACAXEIRA,CRU(A),macaxeira cru,125.0,0.6,30.1,0.3,1.6,1.0,0.1,,,,IBGE
MACAXEIRA,COZIDO(A),macaxeira cozido,125.0,0.6,30.1,0.3,1.6,1.0,0.1,,,,IBGE
MACAXEIRA,ASSADO(A),macaxeira assado,125.0,0.6,30.1,0.3,1.6,1.0,0.1,,,,IBGE
MACAXEIRA,FRITO(A),macaxeira frito,162.74,0.57,28.6,5.26,1.52,0.95,0.87,0.03,,,IBGE
CARA,COZIDO(A),cara cozido,100.0,1.71,23.4,0.12,1.8,8.0,0.03,,6.47,,IBGE
CARA,FRITO(A),cara frito,115.74,1.71,23.4,1.9,1.8,8.0,0.28,,6.47,,IBGE
CARA,REFOGADO(A),cara refogado,115.74,1.71,23.4,1.9,1.8,8.0,0.28,,6.47,,IBGE
CARA,ENSOPADO,cara ensopado,115.74,1.71,23.4,1.9,1.8,8.0,0.28,,6.47,,IBGE
CARA,MINGAU,cara mingau,100.0,1.71,23.4,0.12,1.8,8.0,0.03,,6.47,,IBGE
CARA,SOPA,cara sopa,31.44,0.95,7.01,0.12,0.71,310.43,0.04,0.0,3.28,,IBGE
INHAME CARAQUENTO (CARA),COZIDO(A),inhame caraquento cara cozido,100.0,1.71,23.4,0.12,1.8,8.0,0.03,,6.47,,IBGE
BATATA (NÃO ESPECIFICADA),CRU(A),batata nao especificada cru,86.0,1.71,20.01,0.1,2.05,5.0,0.03,,0.86,,IBGE
BATATA (NÃO ESPECIFICADA),COZIDO(A),batata nao especificada cozido,86.0,1.71,20.01,0.1,2.05,5.0,0.03,,0.86,,IBGE
BATATA (NÃO ESPECIFICADA),GRELHADO(A)/BRASA/CHURRASCO,batata nao especificada grelhado,86.0,1.71,20.01,0.1,2.05,5.0,0.03,,0.86,,IBGE
BATATA (NÃO ESPECIFICADA),ASSADO(A),batata nao especificada assado,86.0,1.71,20.01,0.1,2.05,5.0,0.03,,0.86,,IBGE
BATATA (NÃO ESPECIFICADA),FRITO(A),batata nao especificada frito,263.5,2.87,33.6,13.64,3.44,8.4,2.15,0.07,1.44,,IBGE
BATATA (NÃO ESPECIFICADA),REFOGADO(A),batata nao especificada refogado,111.74,1.71,20.01,3.01,2.05,5.0,0.48,0.02,0.86,,IBGE
BATATA (NÃO ESPECIFICADA),MOLHO VERMELHO,batata nao especificada ao molho vermelho,73.6,1.63,17.08,0.12,1.94,108.8,0.03,,1.54,,IBGE
BATATA (NÃO ESPECIFICADA),MOLHO BRANCO,batata nao especificada ao molho branco,101.39,2.15,17.86,2.57,1.68,24.92,1.55,0.1,1.72,6.83,IBGE
BATATA (NÃO ESPECIFICADA),AO VINAGRETE,batata nao especificada ao vinagrete,111.74,1.71,20.01,3.01,2.05,5.0,0.48,0.02,0.86,,IBGE
BATATA (NÃO ESPECIFICADA),ENSOPADO,batata nao especificada ensopado,111.74,1.71,20.01,3.01,2.05,5.0,0.48,0.02,0.86,,IBGE
BATATA (NÃO ESPECIFICADA),SOPA,batata nao especificada sopa,31.44,0.95,7.01,0.12,0.71,310.43,0.04,0.0,3.28,,IBGE
BATATA (NÃO ESPECIFICADA),NAO SE APLICA,batata nao especificada,86.0,1.71,20.01,0.1,2.05,5.0,0.03,,0.86,,IBGE
MANDIOQUINHA,COZIDO(A),mandioquinha cozido,76.0,1.37,17.72,0.14,2.5,27.0,0.03,,5.74,,IBGE
MANDIOQUINHA,FRITO(A),mandioquinha frito,116.4,1.3,16.83,5.13,2.38,25.65,0.75,,5.45,,IBGE
MANDIOQUINHA,REFOGADO(A),mandioquinha refogado,91.74,1.37,17.72,1.92,2.5,27.0,0.29,,5.74,,IBGE
MANDIOQUINHA,ENSOPADO,mandioquinha ensopado,91.74,1.37,17.72,1.92,2.5,27.0,0.29,,5.74,,IBGE
RABANETE,CRU(A),rabanete cru,16.0,0.68,3.4,0.1,1.6,39.0,0.03,,0.92,,IBGE
RABANETE,COZIDO(A),rabanete cozido,18.0,0.6,4.1,0.1,1.6,21.0,0.03,,2.89,,IBGE
RABANETE,AO VINAGRETE,rabanete ao vinagrete,18.0,0.6,4.1,0.1,1.6,21.0,0.03,,2.89,,IBGE
BETERRABA,CRU(A),beterraba cru,43.0,1.61,9.56,0.17,2.8,78.0,0.03,,6.5,,IBGE
BETERRABA,COZIDO(A),beterraba cozido,44.0,1.68,9.96,0.18,2.0,77.0,0.03,,8.8,,IBGE
BETERRABA,REFOGADO(A),beterraba refogado,67.62,1.68,9.96,2.85,2.0,77.0,0.41,,8.8,,IBGE
BETERRABA,AO VINAGRETE,beterraba ao vinagrete,44.0,1.68,9.96,0.18,2.0,77.0,0.03,,8.8,,IBGE
BETERRABA,SOPA,beterraba sopa,31.44,0.95,7.01,0.12,0.71,310.43,0.04,0.0,3.28,,IBGE
BETERRABA,NAO SE APLICA,beterraba,43.0,1.61,9.56,0.17,2.8,78.0,0.03,,6.5,,IBGE
CENOURA,CRU(A),cenoura cru,41.0,0.93,9.58,0.24,2.8,69.0,0.04,,4.73,,IBGE
CENOURA,COZIDO(A),cenoura cozido,35.0,0.76,8.22,0.18,3.0,58.0,0.03,,3.46,,IBGE
CENOURA,FRITO(A),cenoura frito,60.47,0.74,7.97,3.17,2.91,56.26,0.46,,3.36,,IBGE
CENOURA,REFOGADO(A),cenoura refogado,60.47,0.74,7.97,3.17,2.91,56.26,0.46,,3.36,,IBGE
CENOURA,MOLHO VERMELHO,cenoura ao molho vermelho,32.8,0.87,7.65,0.18,2.7,151.2,0.03,,3.62,,IBGE
CENOURA,AO ALHO E OLEO,cenoura ao alho e oleo,60.47,0.74,7.97,3.17,2.91,56.26,0.46,,3.36,,IBGE
CENOURA,COM MANTEIGA/OLEO,cenoura com manteiga,56.74,0.79,8.22,2.64,3.0,75.46,1.59,0.1,3.46,6.52,IBGE
CENOURA,AO VINAGRETE,cenoura ao vinagrete,35.0,0.76,8.22,0.18,3.0,58.0,0.03,,3.46,,IBGE
CENOURA,ENSOPADO,cenoura ensopado,60.47,0.74,7.97,3.17,2.91,56.26,0.46,,3.36,,IBGE
CENOURA,SOPA,cenoura sopa,31.44,0.95,7.01,0.12,0.71,310.43,0.04,0.0,3.28,,IBGE
CENOURA,NAO SE APLICA,cenoura,41.0,0.93,9.58,0.24,2.8,69.0,0.04,,4.73,,IBGE
NABO,COZIDO(A),nabo cozido,22.0,0.71,5.06,0.08,2.0,16.0,0.01,,1.89,,IBGE
NABO,REFOGADO(A),nabo refogado,47.74,0.71,5.06,2.99,2.0,16.0,0.46,0.02,1.89,,IBGE
ACAFRAO,CRU(A),acafrao cru,310.0,11.43,65.37,5.85,3.9,148.0,1.59,,,,IBGE
BATATA INGLESA ORGANICA,FRITO(A),batata inglesa organica frito,263.5,2.87,33.6,13.64,3.44,8.4,2.15,0.07,1.44,,IBGE
CREME DE ARROZ,NAO SE APLICA,creme de arroz,148.32,3.8,26.07,3.3,0.3,387.3,1.84,0.11,17.4,9.63,IBGE
ARROZINA,NAO SE APLICA,arrozina,148.32,3.8,26.07,3.3,0.3,387.3,1.84,0.11,17.4,9.63,IBGE
MUCILON,NAO SE APLICA,mucilon,78.24,2.42,10.46,3.06,0.17,319.33,1.35,0.23,7.2,6.02,IBGE
MINGAU DE ARROZ,NAO SE APLICA,mingau de arroz,148.32,3.8,26.07,3.3,0.3,387.3,1.84,0.11,17.4,9.63,IBGE
CROQUINHOS DE ARROZ,NAO SE APLICA,croquinhos de arroz,387.0,12.94,77.9,4.54,14.5,8.0,0.7,,0.86,,IBGE
FARINHA DE AVEIA,NAO SE APLICA,farinha de aveia,384.0,16.0,67.0,6.3,9.8,4.0,1.11,,1.57,,IBGE
AVEIA EM FLOCOS,NAO SE APLICA,aveia em flocos,384.0,16.0,67.0,6.3,9.8,4.0,1.11,,1.57,,IBGE
FUBA DE MILHO,NAO SE APLICA,fuba de milho,60.58,1.44,13.0,0.2,0.26,2.65,0.03,,0.52,,IBGE
FARINHA DE MILHO,NAO SE APLICA,farinha de milho,351.0,7.2,79.1,1.5,5.5,45.0,0.4,,,,IBGE
PUBA DE MILHO,NAO SE APLICA,puba de milho,311.0,4.8,45.1,12.4,0.7,134.0,4.5,1.99,8.27,82.0,IBGE
PUBA DE FUBA,NAO SE APLICA,puba de fuba,311.0,4.8,45.1,12.4,0.7,134.0,4.5,1.99,8.27,82.0,IBGE
MILHO MOIDO,COZIDO(A),milho moido cozido,160.14,3.32,25.11,7.18,4.25,244.96,1.12,0.03,3.16,,IBGE
MINGAU DE MILHO,NAO SE APLICA,mingau de milho,78.24,2.42,10.46,3.06,0.17,319.33,1.35,0.23,7.2,6.02,IBGE
AMIDO DE MILHO,NAO SE APLICA,amido de milho,78.24,2.42,10.46,3.06,0.17,319.33,1.35,0.23,7.2,6.02,IBGE
AMIDO DE ARROZ,NAO SE APLICA,amido de arroz,148.32,3.8,26.07,3.3,0.3,387.3,1.84,0.11,17.4,9.63,IBGE
CREMOGEMA,NAO SE APLICA,cremogema,78.24,2.42,10.46,3.06,0.17,319.33,1.35,0.23,7.2,6.02,IBGE
VITAMILHO,NAO SE APLICA,vitamilho,128.3,4.35,26.42,0.22,1.71,261.48,0.04,,0.72,,IBGE
CREME DE MILHO,NAO SE APLICA,creme de milho,78.24,2.42,10.46,3.06,0.17,319.33,1.35,0.23,7.2,6.02,IBGE
SUCRILHOS DE MILHO,NAO SE APLICA,sucrilhos de milho,377.0,4.7,88.8,0.7,2.1,405.0,,,38.02,,IBGE
CEREAL MATINAL DE MILHO EM FLOCOS,NAO SE APLICA,cereal matinal de milho em flocos,377.0,4.7,88.8,0.7,2.1,405.0,,,38.02,,IBGE
GERME DE TRIGO,NAO SE APLICA,germe de trigo,360.0,23.15,51.8,9.72,13.2,12.0,1.67,,8.7,,IBGE
FIBRA DE TRIGO,NAO SE APLICA,fibra de trigo,216.0,15.55,64.51,4.25,42.8,2.0,0.63,,1.6,,IBGE
FIBRA DE CEREAL TRIGO,NAO SE APLICA,fibra de cereal trigo,216.0,15.55,64.51,4.25,42.8,2.0,0.63,,1.6,,IBGE
FARINHA DE MANDIOCA,NAO SE APLICA,farinha de mandioca,361.0,1.6,87.9,0.3,6.4,1.0,0.1,0.1,,,IBGE
FARINHA DE COPIOBA,NAO SE APLICA,farinha de copioba,361.0,1.6,87.9,0.3,6.4,1.0,0.1,0.1,,,IBGE
FARINHA DE AGUA,NAO SE APLICA,farinha de agua,361.0,1.6,87.9,0.3,6.4,1.0,0.1,0.1,,,IBGE
CRUERA,NAO SE APLICA,cruera,361.0,1.6,87.9,0.3,6.4,1.0,0.1,0.1,,,IBGE
GOMA DE MANDIOCA,NAO SE APLICA,goma de mandioca,336.0,2.0,82.0,,,1.5,,,,,IBGE
SAGU DE MANDIOCA,NAO SE APLICA,sagu de mandioca,116.99,4.33,15.51,4.1,0.03,100.38,1.99,0.1,13.2,63.11,IBGE
FARINHA DE TAPIOCA,NAO SE APLICA,farinha de tapioca,331.0,0.5,81.1,0.3,0.6,2.0,,,,,IBGE
FARINHA BEIJU,NAO SE APLICA,farinha beiju,331.0,0.5,81.1,0.3,0.6,2.0,,,,,IBGE
SAGU DE TAPIOCA,NAO SE APLICA,sagu de tapioca,116.99,4.33,15.51,4.1,0.03,100.38,1.99,0.1,13.2,63.11,IBGE
TAPIOCA DE GOMA,NAO SE APLICA,tapioca de goma,336.0,2.0,82.0,,,1.5,,,,,IBGE
