nome,nome_busca,categoria,kcal_100g,proteina_g,carboidrato_g,gordura_g,fibra_g,sodio_mg,colesterol_mg,calcio_mg,ferro_mg,fonte,porcao_num,porcao_uni,marca,sodio_g
"Arroz, integral, cozido",arroz integral cozido,Cereais e derivados,124.0,2.6,25.8,1.0,2.7,1.0,,5.0,0.3,TACO,,g,,0.001
"Arroz, integral, cru",arroz integral cru,Cereais e derivados,360.0,7.3,77.5,1.9,4.8,2.0,,8.0,0.9,TACO,,g,,0.002
"Arroz, tipo 1, cozido",arroz tipo 1 cozido,Cereais e derivados,128.0,2.5,28.1,0.2,1.6,1.0,,4.0,0.1,TACO,,g,,0.001
"Arroz, tipo 1, cru",arroz tipo 1 cru,Cereais e derivados,358.0,7.2,78.8,0.3,1.6,1.0,,4.0,0.7,TACO,,g,,0.001
"Arroz, tipo 2, cozido",arroz tipo 2 cozido,Cereais e derivados,130.0,2.6,28.2,0.4,1.1,2.0,,3.0,0.1,TACO,,g,,0.002
"Arroz, tipo 2, cru",arroz tipo 2 cru,Cereais e derivados,358.0,7.2,78.9,0.3,1.7,1.0,,5.0,0.6,TACO,,g,,0.001
"Aveia, flocos, crua",aveia flocos crua,Cereais e derivados,394.0,13.9,66.6,8.5,9.1,5.0,,48.0,4.4,TACO,,g,,0.005
"Biscoito, doce, maisena",biscoito doce maisena,Cereais e derivados,443.0,8.1,75.2,12.0,2.1,352.0,,54.0,1.8,TACO,,g,,0.352
"Biscoito, doce, recheado com chocolate",biscoito doce recheado com chocolate,Cereais e derivados,472.0,6.4,70.5,19.6,3.0,239.0,0.0,27.0,2.3,TACO,,g,,0.239
"Biscoito, doce, recheado com morango",biscoito doce recheado com morango,Cereais e derivados,471.0,5.7,71.0,19.6,1.5,230.0,0.0,36.0,1.5,TACO,,g,,0.23
"Biscoito, doce, wafer, recheado de chocolate",biscoito doce wafer recheado de chocolate,Cereais e derivados,502.0,5.6,67.5,24.7,1.8,137.0,0.0,23.0,2.4,TACO,,g,,0.137
"Biscoito, doce, wafer, recheado de morango",biscoito doce wafer recheado de morango,Cereais e derivados,513.0,4.5,67.4,26.4,0.8,120.0,1.0,14.0,1.1,TACO,,g,,0.12
"Biscoito, salgado, cream cracker",biscoito salgado cream cracker,Cereais e derivados,432.0,10.1,68.7,14.4,2.5,854.0,,20.0,2.2,TACO,,g,,0.854
